arquitectura,familia,acierto
baseline,numerica,1.0
baseline,extractiva,1.0
baseline,comparativa,0.08333333333333333
a1_guardrails,numerica,1.0
a1_guardrails,extractiva,1.0
a1_guardrails,comparativa,0.375
a2_retrieval,numerica,1.0
a2_retrieval,extractiva,1.0
a2_retrieval,comparativa,0.375
a3_hibrido,numerica,1.0
a3_hibrido,extractiva,1.0
a3_hibrido,comparativa,0.4166666666666667
a4_comparativas,numerica,1.0
a4_comparativas,extractiva,1.0
a4_comparativas,comparativa,1.0
a5_limites,numerica,1.0
a5_limites,extractiva,1.0
a5_limites,comparativa,1.0
a6_cifras_texto,numerica,1.0
a6_cifras_texto,extractiva,1.0
a6_cifras_texto,comparativa,1.0
