golden,arquitectura,rep,preguntas,hechas,faltan,reparables,obsoletas,sobran,por_correr,desde,hasta,commits,config_cambiada,ids_faltan,ids_reparables,ids_obsoletas
original,baseline,1,20,20,0,0,0,0,0,2026-09-23T17:21,2026-09-23T17:21,,,,,
original,baseline,2,20,20,0,0,0,0,0,2026-09-23T17:21,2026-09-23T23:06,13b37d8,,,,
original,baseline,3,20,20,0,0,0,0,0,2026-09-23T17:21,2026-09-23T17:21,,,,,
original,a1_guardrails,1,20,20,0,0,0,0,0,2026-09-23T17:21,2026-09-23T17:21,,,,,
original,a1_guardrails,2,20,20,0,0,0,0,0,2026-09-23T17:21,2026-09-23T17:21,,,,,
original,a1_guardrails,3,20,20,0,0,0,0,0,2026-09-23T17:21,2026-09-23T17:21,,,,,
original,a2_retrieval,1,20,20,0,0,0,0,0,2026-09-23T17:21,2026-09-23T17:21,,,,,
original,a2_retrieval,2,20,20,0,0,0,0,0,2026-09-23T17:21,2026-09-23T17:21,,,,,
original,a2_retrieval,3,20,20,0,0,0,0,0,2026-09-23T17:21,2026-09-23T17:21,,,,,
original,a3_hibrido,1,20,20,0,0,0,0,0,2026-09-23T22:41,2026-09-23T22:47,13b37d8,,,,
original,a3_hibrido,2,20,20,0,0,0,0,0,2026-09-23T22:48,2026-09-23T22:55,13b37d8,,,,
original,a3_hibrido,3,20,20,0,0,0,0,0,2026-09-23T22:56,2026-09-23T23:04,13b37d8,,,,
original,a4_comparativas,1,20,20,0,0,0,0,0,2026-09-23T17:21,2026-09-23T23:07,13b37d8,,,,
original,a4_comparativas,2,20,20,0,0,0,0,0,2026-09-23T17:21,2026-09-23T17:21,,,,,
original,a4_comparativas,3,20,20,0,0,0,0,0,2026-09-23T17:21,2026-09-23T23:08,13b37d8,,,,
original,a5_limites,1,20,20,0,0,0,0,0,2026-09-23T19:15,2026-09-23T23:09,"13b37d8,4008f0a",,,,
original,a6_cifras_texto,1,20,20,0,0,0,0,0,2026-09-23T19:33,2026-09-23T19:46,4008f0a,,,,
dificil,baseline,1,18,18,0,0,0,0,0,2026-09-23T16:57,2026-09-23T17:04,1e19c11,,,,
dificil,a1_guardrails,1,18,18,0,0,0,0,0,2026-09-23T17:05,2026-09-23T17:12,1e19c11,,,,
dificil,a2_retrieval,1,18,18,0,0,0,0,0,2026-09-23T17:13,2026-09-23T17:21,1e19c11,,,,
dificil,a3_hibrido,1,18,18,0,0,0,0,0,2026-09-23T17:23,2026-09-23T23:09,"13b37d8,1e19c11",,,,
dificil,a4_comparativas,1,18,18,0,0,0,0,0,2026-09-23T17:36,2026-09-23T22:10,1e19c11,,,,
dificil,a5_limites,1,18,18,0,0,0,0,0,2026-09-23T18:42,2026-09-23T18:56,4008f0a,,,,
dificil,a6_cifras_texto,1,18,18,0,0,0,0,0,2026-09-23T18:59,2026-09-23T23:10,"13b37d8,4008f0a",,,,
