arquitectura,familia,acierto
baseline,numerica,
baseline,extractiva,
baseline,comparativa,
baseline,honestidad,0.8
baseline,multi,0.6666666666666666
baseline,multi_temporal,0.42857142857142855
a1_guardrails,numerica,
a1_guardrails,extractiva,
a1_guardrails,comparativa,
a1_guardrails,honestidad,1.0
a1_guardrails,multi,0.8333333333333334
a1_guardrails,multi_temporal,0.42857142857142855
a2_retrieval,numerica,
a2_retrieval,extractiva,
a2_retrieval,comparativa,
a2_retrieval,honestidad,1.0
a2_retrieval,multi,0.8333333333333334
a2_retrieval,multi_temporal,0.42857142857142855
a3_hibrido,numerica,
a3_hibrido,extractiva,
a3_hibrido,comparativa,
a3_hibrido,honestidad,1.0
a3_hibrido,multi,0.6666666666666666
a3_hibrido,multi_temporal,0.42857142857142855
a4_comparativas,numerica,
a4_comparativas,extractiva,
a4_comparativas,comparativa,
a4_comparativas,honestidad,1.0
a4_comparativas,multi,0.8333333333333334
a4_comparativas,multi_temporal,0.42857142857142855
